CENTRO;Nombre;Apellido1;Apellido2;DNI/NIF;DETALLE_MATERIAS
C.D.P. ATALAYA;Andres;Jara;Falcón;21667561M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Francés (Fase de Admisión), Latín II
C.D.P. ATALAYA;Neizan;Parado;Alcocer;18525858R;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Historia de la Filosofía
C.D.P. ATALAYA;Emma;Carvallo;Suárez;53108291V;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. ATALAYA;Irene;Silva;Zarco;A7789074D;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Geografía, Historia de la Filosofía
C.D.P. ATALAYA;Jon;Villas;Escovar;32627135R;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS
C.D.P. CARDENAL HERRERA ORIA;Jose;Cerda;Collado;77832889A;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Geografía
C.D.P. CARDENAL HERRERA ORIA;Gabriel;Venegas;Roble;12326411B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Cultura Audiovisual II
C.D.P. CARDENAL HERRERA ORIA;Aroa;Lafuente;Almendárez;47087303X;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. CARDENAL HERRERA ORIA;Jimena;Vargas;López;83555192D;Historia de España, Lengua Castellana y Literatura, Francés (Fase de Acceso), Inglés (Fase de Admisión), Matemáticas Aplicadas a las CCSS
C.D.P. CARDENAL HERRERA ORIA;Blanca;Puente;Alcázar;85696220I;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía
C.D.P. CENEC-MÁLAGA;Luka;Ponce;Noguera;81424562E;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Economía de la Empresa, Historia de la Filosofía, Historia del Arte
C.D.P. CENTRO DE BACHILLERATO DE ARTES ESCÉNICAS;Julen;Bautista;Espino;51125393H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía, Historia de la Filosofía
C.D.P. CENTRO DE BACHILLERATO DE ARTES ESCÉNICAS;Andrea;Calles;Acuña;59085013K;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. CENTRO DE BACHILLERATO DE ARTES ESCÉNICAS;Mario;Martínez;Funez;79469708P;Economía de la Empresa, Geografía
C.D.P. CENTRO DE BACHILLERATO DE ARTES ESCÉNICAS;Lola;Izquierdo;Olmedo;16416270V;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. CENTRO DE BACHILLERATO DE ARTES ESCÉNICAS;India;Solé;Darío;94312802H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. CERRADO DE CALDERÓN;Cayetana;Icaza;Falcón;67637657C;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología
C.D.P. CERRADO DE CALDERÓN;Ainara;Ahumada;Montero;73187519T;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. CERRADO DE CALDERÓN;Antonio;Domínguez;Quiroga;91277175B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. CERRADO DE CALDERÓN;Luis;Padilla;Chavira;H7701380W;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
C.D.P. CERRADO DE CALDERÓN;Unai;Vivas;Trujillo;80352586O;Química
C.D.P. CESUR-CTM;Ignacio;Galán;Dueñas;C5666110T;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II
C.D.P. CESUR-CTM;Aleix;Prada;Molina;65313786N;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. CESUR-PTA;Isabel;Aguirre;Donato;B7748658S;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Economía de la Empresa
C.D.P. CESUR-PTA;Nahia;Villeda;Villar;34416079G;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. CESUR-PTA;Julieta;García;Novo;30572798I;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Fundamentos del Arte II, Cultura Audiovisual II, Diseño
C.D.P. CESUR-PTA;Angela;Machado;Céspedes;J9335702C;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Física, Química
C.D.P. CESUR-PTA;Mohamed;Troncoso;Elizondo;C2311414B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Francés (Fase de Admisión), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. ECODENT'S;Manuela;Salmón;Salmón;88128322G;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Fundamentos del Arte II, Artes Escénicas, Cultura Audiovisual II, Historia de la Filosofía
C.D.P. ECODENT'S;Oliver;Mantilla;Barrera;25424658J;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia de la Filosofía
C.D.P. ECODENT'S;Dario;Guardiola;Sáenz;43168684U;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. ECODENT'S;Sofia;Ordóñez;Carrillo;Z2378404W;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Geografía, Historia de la Filosofía
C.D.P. ECODENT'S;Aurora;Ortega;Samper;71869995K;Geografía, Griego II
C.D.P. ECOS;Cayetana;Ivañez;Escamilla;80674728A;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Biología
C.D.P. ECOS;Rodrigo;Arrollo;Bazán;68179349H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia de la Filosofía
C.D.P. ECOS;Max;Peraza;Herrera;27924154U;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía
C.D.P. ECOS;Fabio;Paladino;Zacarías;78945937H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Geografía, Historia de la Filosofía
C.D.P. ECOS;Kai;Espino;Pardo;32215928Y;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
C.D.P. EDUFY FORMACION;Axel;Jurado;Guillén;59989987Y;Geografía
C.D.P. EDUFY FORMACION;Fabio;Venegas;Bautista;91472082B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Francés (Fase de Admisión), Latín II, Historia de la Filosofía
C.D.P. EDUFY FORMACION;Luna;Bautista;Almendárez;61663638I;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. EL DIVINO PASTOR;Matias;Rivas;Funez;64173361U;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Griego II, Historia de la Filosofía
C.D.P. EL DIVINO PASTOR;Jimena;Jiménez;Segura;68407316I;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. EL DIVINO PASTOR;Sofia;Olivera;Saldivar;59193410C;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Geografía
C.D.P. EL DIVINO PASTOR;Carlota;Sabín;Corro;57658433J;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Griego II, Historia de la Filosofía
C.D.P. EL DIVINO PASTOR;Daniel;Marroquí;Meneses;17157303A;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia de la Filosofía
C.D.P. EL LIMONAR;Alvaro;Hernández;Domínguez;63720271R;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física, Matemáticas Aplicadas a las CCSS
C.D.P. EL LIMONAR;Lina;Ozuno;Busto;53352033D;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia de la Filosofía, Matemáticas II
C.D.P. EL LIMONAR;Aitana;Cuervo;Cepeda;90927597U;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. EL LIMONAR;Paula;Cuevas;Juárez;70619770J;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II
C.D.P. EL LIMONAR;Claudia;Maduro;Macedo;96825766L;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Griego II
C.D.P. EL PINAR;Julen;Perdomo;Fraga;95196345E;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía
C.D.P. EL PINAR;Arlet;Soza;Robles;45137909A;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia de la Filosofía
C.D.P. EL PINAR;Santiago;Valencia;Savala;63857537O;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS
C.D.P. EL PINAR;Gabriela;Vanegas;Gaytán;14494691U;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Economía de la Empresa, Matemáticas Aplicadas a las CCSS
C.D.P. EL PINAR;Maia;Barba;Villas;71642454P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía
C.D.P. EL ROMERAL;Kai;Baca;Galindo;17712958K;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia de la Filosofía, Historia del Arte
C.D.P. EL ROMERAL;Ignacio;Quiroga;García;12072616T;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Griego II, Historia del Arte
C.D.P. EL ROMERAL;Nico;Salvado;Busto;X8229833Z;Matemáticas Aplicadas a las CCSS
C.D.P. EL ROMERAL;Adriana;Anaya;Camarillo;C6155817L;Dibujo Técnico II, Física, Matemáticas II
C.D.P. EL ROMERAL;Luis;Medina;Nieto;39543647H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Griego II
C.D.P. ESCUELAS DEL AVE MARÍA;Ignacio;Trejos;Tedesco;Z5791564N;Historia de España, Lengua Castellana y Literatura, Francés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía
C.D.P. ESCUELAS DEL AVE MARÍA;Aina;Bustamante;Pineda;45107517A;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física, Matemáticas Aplicadas a las CCSS
C.D.P. ESCUELAS DEL AVE MARÍA;Ana;Bonilla;Ayala;95114680Q;Biología, Química
C.D.P. ESCUELAS DEL AVE MARÍA;Alejandra;Martí;Matías;26278019A;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
C.D.P. ESCUELAS DEL AVE MARÍA;Vega;Valencia;Trejos;84401954L;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. ESCUELAS PROFESIONALES DE LA SAGRADA FAMILIA;Dario;Zamora;Navarrete;79896523H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS
C.D.P. ESCUELAS PROFESIONALES DE LA SAGRADA FAMILIA;Vega;Sala;Darío;52464744H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Geografía, Historia de la Filosofía
C.D.P. ESCUELAS PROFESIONALES DE LA SAGRADA FAMILIA;Iris;Sandoval;Guardiola;25512500C;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Francés (Fase de Admisión), Latín II, Griego II
C.D.P. ESCUELAS PROFESIONALES DE LA SAGRADA FAMILIA;Blanca;Bolaños;Carrillo;63670378J;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II
C.D.P. ESCUELAS PROFESIONALES DE LA SAGRADA FAMILIA;Paula;Matías;Ordóñez;57003308P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Biología, Matemáticas II
C.D.P. EUROPA;Guillermo;Prieto;Cevedo;70939743I;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. EUROPA;Victor;Sol;Tejada;80779907X;Griego II, Latín II
C.D.P. EUROPA;Jorge;Corro;Fuentes;93089498B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Geografía
C.D.P. EUROPA;Elena;Caldera;Mantilla;14740004I;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS
C.D.P. EUROPA;Valentina;Agustín;Lines;B6906608P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física, Química
C.D.P. GAMARRA;Carlota;Cárdenas;Cuevas;72016528E;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. GAMARRA;Pol;Prieto;Herrera;30145693J;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. GAMARRA;Lucia;Izquierdo;Villar;18919451D;Matemáticas Aplicadas a las CCSS
C.D.P. GAMARRA;Thiago;Beltrán;Duarte;43728794Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Química
C.D.P. GAMARRA;Carlota;Soler;Roldán;26233182N;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. INTERNACIONAL TORREQUEBRADA;Olivia;Alarcón;Sedano;58725982F;Economía de la Empresa, Geografía, Matemáticas Aplicadas a las CCSS
C.D.P. INTERNACIONAL TORREQUEBRADA;Ines;Vivero;Quesada;58736582A;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. INTERNACIONAL TORREQUEBRADA;Leire;Becerra;Mijares;33540545C;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Física
C.D.P. INTERNACIONAL TORREQUEBRADA;Ian;Santos;Soza;25429692U;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia de la Filosofía
C.D.P. INTERNACIONAL TORREQUEBRADA;Arlet;Arjona;Escalante;22925738C;Inglés (Fase de Admisión), Fundamentos del Arte II
C.D.P. JOBESA;Pol;Martí;Oseda;66849380N;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía
C.D.P. JOBESA;Sofia;Olivares;Moneda;28792182S;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II
C.D.P. JOBESA;Gabriela;Lines;Santiago;12316964J;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. JOBESA;Zoe;Velasco;Taracena;90501186D;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS
C.D.P. JOBESA;Violeta;Manzanal;López;18884664M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Griego II
C.D.P. LA ASUNCIÓN;Nour;Lázaro;Cerda;82971298R;Geografía
C.D.P. LA ASUNCIÓN;Francisco;Osorio;Tobar;29591264V;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. LA ASUNCIÓN;Aaron;Vivas;Robles;10256502V;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Fundamentos del Arte II, Historia de la Filosofía
C.D.P. LA ASUNCIÓN;Carlota;Rosas;Escobar;64963166Q;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
C.D.P. LA ASUNCIÓN;Alicia;Marrero;Sandino;X4187381G;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía
C.D.P. LA PRESENTACIÓN DE NUESTRA SEÑORA;Amira;Redondo;Prada;23636581B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II
C.D.P. LA PRESENTACIÓN DE NUESTRA SEÑORA;Marti;Gutiérrez;Medina;P5768014C;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Griego II
C.D.P. LA PRESENTACIÓN DE NUESTRA SEÑORA;Jon;Trejos;Anaya;79635589H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. LA PRESENTACIÓN DE NUESTRA SEÑORA;Guillermo;Leandro;Sandino;69851400H;Portugués (Fase de Admisión), Economía de la Empresa
C.D.P. LA PRESENTACIÓN DE NUESTRA SEÑORA;Aitor;Martí;Bustamante;91285933P;Historia de la Filosofía, Matemáticas Aplicadas a las CCSS
C.D.P. LA REINA;Gala;Soler;Céspedes;80626529Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Geografía, Historia de la Filosofía
C.D.P. LA REINA;Fatima;Argüelles;Lagos;T8991670F;Física, Matemáticas II
C.D.P. LA REINA;Ivan;Marrero;Jara;45458659E;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. LA REINA;Ruben;Barrientos;Ramos;67253359W;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Economía de la Empresa, Física
C.D.P. LA REINA;Marina;Soto;Ulloa;51077187X;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Geografía, Historia de la Filosofía
C.D.P. LAS CHAPAS;Clara;Rubio;Tames;B9711147X;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. LAS CHAPAS;Ariadna;Sol;Oseda;44104989Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía
C.D.P. LAS CHAPAS;Paula;Valdiva;De la Fuente;96354000Q;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. LAS CHAPAS;Victoria;Villas;0;54108376X;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Física
C.D.P. LAS CHAPAS;Marti;Moneda;Quijano;65921088A;Historia de España, Lengua Castellana y Literatura, Francés (Fase de Acceso), Matemáticas II, Dibujo Técnico II
C.D.P. LAUDE SAN PEDRO DE ALCÁNTARA;Izan;Ocampo;Montecinos;45781208W;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Matemáticas Aplicadas a las CCSS, Química
C.D.P. LAUDE SAN PEDRO DE ALCÁNTARA;Sofia;Tedesco;Icaza;85115965Y;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. LAUDE SAN PEDRO DE ALCÁNTARA;Celia;Manzano;Figueras;94069411F;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. LAUDE SAN PEDRO DE ALCÁNTARA;Diego;Quesada;Ordóñez;49134852U;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Física, Matemáticas Aplicadas a las CCSS
C.D.P. LAUDE SAN PEDRO DE ALCÁNTARA;Gabriel;Mena;Ferrer;U5345313H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. LEÓN XIII;Macarena;Rivera;Cervantes;91905954F;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. LEÓN XIII;Dylan;Navarrete;Casas;15362226H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. LEÓN XIII;Jan;Monge;Caballero;S9268578W;Biología, Química
C.D.P. LEÓN XIII;Ruben;Marrero;Palazuelos;J5690641H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. LEÓN XIII;Adara;Fraga;Taracena;82543360Y;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. LOS OLIVOS;Alvaro;Macedo;Gillén;15357145H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Griego II
C.D.P. LOS OLIVOS;Gabriel;Lagos;Heredia;12468550G;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Francés (Fase de Admisión), Matemáticas II, Física
C.D.P. LOS OLIVOS;Angel;Campos;Olivares;79268882F;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Economía de la Empresa, Geografía
C.D.P. LOS OLIVOS;Marina;Valdés;Ponce;95338061R;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. LOS OLIVOS;Alma;Almendárez;Ocampo;45732629R;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Matemáticas Aplicadas a las CCSS, Química
C.D.P. MÁLAGA INSTITUTE OF TECHNOLOGY;Blanca;Estrella;Gaitán;81133936C;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía
C.D.P. MÁLAGA INSTITUTE OF TECHNOLOGY;Liam;Ortega;Palazuelos;49821885P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Fundamentos del Arte II, Diseño
C.D.P. MÁLAGA INSTITUTE OF TECHNOLOGY;Fatima;Jerano;Soto;V7345588O;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. MÁLAGA INSTITUTE OF TECHNOLOGY;Arnau;Campos;Darío;N3227398R;Biología, Química
C.D.P. MÁLAGA INSTITUTE OF TECHNOLOGY;Macarena;Álvarez;Peralta;85217023G;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. MARAVILLAS;Arlet;Izquierdo;Loredo;96247575Q;Biología, Química
C.D.P. MARAVILLAS;Valeria;Galeno;Vívez;60389001R;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. MARAVILLAS;Laia;Sotomayor;Jara;51503080A;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Cultura Audiovisual II, Historia de la Filosofía
C.D.P. MARAVILLAS;Camila;Guerrero;Anaya;O1474760K;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Geografía, Historia del Arte
