CENTRO;Nombre;Apellido1;Apellido2;DNI/NIF;DETALLE_MATERIAS
C.D.P. MEDAC MALASAÑA;Zoe;Huerta;Aguilar;28129855W;Economía de la Empresa, Geografía
C.D.P. MEDAC NOVA;Mateo;Góngora;Saldaña;47596344X;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Geografía, Historia de la Filosofía
C.D.P. MEDAC SAN RAFAEL;Luis;Trejos;Rosas;20457599F;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
C.D.P. NOVASCHOOL AÑORETA;Bruno;Hierro;Bastida;44427575D;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Francés (Fase de Admisión), Latín II, Historia del Arte
C.D.P. NUESTRA SEÑORA DE LA VICTORIA;Adriana;Velásquez;Valdiva;31500686T;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
C.D.P. NUESTRA SEÑORA DE LOURDES;Ismael;Hierro;Ramos;10641068Z;Química
C.D.P. PATROCINIO SAN JOSÉ;Carla;Fierro;Macías;68543652M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Matemáticas Aplicadas a las CCSS, Química
C.D.P. PUERTOSOL;Nico;Perdomo;Soza;V6065942F;Química
C.D.P. SAGRADO CORAZÓN;Elia;Portillo;Paz;81908951H;Dibujo Técnico II
C.D.P. SALLIVER;Guillermo;Varela;Sagel;47679003Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Historia de la Filosofía
C.D.P. SAN BARTOLOMÉ;Fernando;Perdomo;Rosas;53254235G;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología
C.D.P. SAN ESTANISLAO DE KOSTKA;Rodrigo;Galán;Sandino;31541450O;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
C.D.P. SAN FRANCISCO DE ASÍS;Daniel;Pardo;Cepeda;L9591652E;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Economía de la Empresa, Historia de la Filosofía
C.D.P. SAN FRANCISCO JAVIER - LA SALLE VIRLECHA;Lina;Fábregas;Mejía;G9941071B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Geografía
C.D.P. SAN JOSÉ;Isabella;Peraza;Olivares;X7464534X;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. SAN JOSÉ (CAMPILLOS);Antonio;Pena;Villallovos;25599734Y;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. SANTA MADRE SACRAMENTO;Maia;Pantoja;Obregón;11852965L;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. SANTA MARÍA DE LOS ÁNGELES;Aitana;Guerrero;Venegas;54195733Q;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Griego II
C.D.P. SANTA ROSA DE LIMA;Iria;Sáenz;Ureña;35452815M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Historia de la Filosofía
C.D.P. SANTÍSIMA TRINIDAD;Lara;Lázaro;Izquierdo;G2550084S;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Geografía, Griego II
C.D.P. SIERRA BLANCA;Laia;Novales;Navarrete;33575789T;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. UNAMUNO;Valentina;Álvarez;Ordóñez;39317377I;Biología, Química
C.D.P.CENTRO DE ESTUDIOS OPTIMA;Sergio;Jurado;Campos;42233003Y;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P.CESUR;Marta;Samper;Meza;99147305S;Biología, Química
C.E. DR. ARDUÁN FORMACIÓN;Jesus;Guerrero;Ortiz;97825188K;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
C.E. THE BRITISH SCHOOL OF MÁLAGA;Nil;Cabeza;Cabeza;73856937Q;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
CDP CENTRO DE FORMACIÓN PROFESIONAL LEON XIII;Gabriela;Barrientos;Zabaleta;H5995958B;Historia de la Filosofía, Matemáticas Aplicadas a las CCSS
CDP MEDAC VELÁZQUEZ II;Mohamed;Cabeza;Rueda;90565283A;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
COLEGIO BILINGÜE LA LATINA;Aitana;Velarde;Ruiz;I8687316I;Geografía, Historia de la Filosofía
E.A. SAN TELMO;Irene;Vívez;Darío;31712696V;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Economía de la Empresa
I.E.S. AL-BAYTAR;Valentina;Uriarte;Oseda;72056428P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. ALMENARA;Helena;Fraga;Cevedo;E6523430O;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
I.E.S. ALTA AXARQUÍA;Diego;Maurer;Granados;95446762S;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Matemáticas Aplicadas a las CCSS, Química
I.E.S. ANDRÉS PÉREZ SERRANO;Pol;Fernández;Salvado;57972372P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Historia de la Filosofía
I.E.S. ANTONIO GALA;Arlet;Ordóñez;De Alba;40905270M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Química
I.E.S. ARROYO DE LA MIEL;Yasmin;Romero;Quijano;G7640285G;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Francés (Fase de Admisión), Latín II, Historia de la Filosofía
I.E.S. BELÉN;Cayetana;Jurado;Galindo;47067701B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Historia de la Filosofía
I.E.S. BEN AL JATIB;Leyre;Martí;Ospino;69707478V;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Fundamentos del Arte II, Diseño
I.E.S. BEN GABIROL;Sofia;Navarrete;Peña;45802116B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
I.E.S. BEZMILIANA;Ignacio;Navaro;Vales;11099855K;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. CAMILO JOSÉ CELA;Andres;Pedroza;Robles;31355956F;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
I.E.S. CAMPANILLAS;Iker;Lines;Novo;R5415862T;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. CÁNOVAS DEL CASTILLO;Leire;Ocampo;Guzmán;74435378D;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Historia de la Filosofía, Historia del Arte
I.E.S. CAPELLANÍA;Ariadna;Peña;Bazán;97892297W;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
I.E.S. CERRO DEL VIENTO;Pol;Tejada;Solana;C6656456C;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
I.E.S. CIUDAD DE COÍN;Candela;Valdiva;Núñez;71903841H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
I.E.S. CIUDAD JARDÍN;Aina;Góngora;Salinas;64783172E;Historia de la Filosofía
I.E.S. CONCHA MÉNDEZ CUESTA;Bruno;Escobar;Guerrero;39897701A;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Geografía, Historia del Arte
I.E.S. DR. RODRÍGUEZ DELGADO;Rafael;Rojas;Herrera;M8492793S;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
I.E.S. EL CHAPARIL;Lola;Salcedo;Valdiva;47773885Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. EL PALO;Rayan;Escamilla;Baños;61671795L;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. EMILIO PRADOS;Martina;Gámez;Maltés;92020418J;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
I.E.S. FERNANDO DE LOS RÍOS;Daniela;Roble;Farías;99144603Y;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
I.E.S. FUENGIROLA Nº 1;Victor;Alayón;Arjona;18118645L;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
I.E.S. FUENTE LUCENA;Rodrigo;Dueñas;Parado;13509267J;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. FUENTE LUNA;Youssef;Ortiz;Ivañez;89054321W;Biología, Química
I.E.S. GERALD BRENAN;Marcos;Sol;Guardado;55816158N;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
I.E.S. GUADAIZA;Ainara;Lagos;Solé;27259704E;Biología
I.E.S. GUADALPÍN;Jaime;Uribe;Frías;12110128Y;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Historia de la Filosofía, Historia del Arte
I.E.S. HUELIN;Macarena;Rosas;Cabeza;89240247L;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
I.E.S. HUERTA ALTA;Violeta;Argüelles;Lorio;42498384E;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. JACARANDA;Alma;Rangel;Prieto;45231471P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
I.E.S. JARDINES DE PUERTA OSCURA;Ainara;Velasco;Uveda;76083440D;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
I.E.S. JARIFA;Alvaro;Ayala;Ahumada;Q7769055N;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. JORGE GUILLÉN;Olivia;Urrutia;Vanegas;39959571M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Historia de la Filosofía
I.E.S. JOSÉ NAVARRO Y ALBA;Arnau;Pastor;Cevedo;44731633E;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Matemáticas Aplicadas a las CCSS
I.E.S. JUAN DE LA CIERVA;Erik;Mena;Alanis;76409096N;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. LA CALA DE MIJAS;David;Reyes;Medina;84499061X;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
I.E.S. LA ROSALEDA;Marco;Zuleta;Amador;77536444U;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. LAS FLORES;Sergio;Juárez;Fraga;74135225J;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Fundamentos del Arte II, Cultura Audiovisual II, Diseño
I.E.S. LAS LAGUNAS;Eva;Redondo;Plácido;I3703502A;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Biología, Matemáticas II, Química
I.E.S. LAS SALINAS;Nerea;Bolaños;Alfaro;68178611Q;Biología
I.E.S. LAS VIÑAS;Marc;Otero;Palacio;22260866S;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
I.E.S. LITORAL;Thiago;Ochoa;Treminio;L3393651I;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. LOS BOLICHES;Blanca;Montero;Bello;Q5169862F;Geografía, Matemáticas Aplicadas a las CCSS
I.E.S. LOS COLEGIALES;Saul;Zelaya;Gillén;39370628Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. LOS MANANTIALES;Gael;Villeda;Saucedo;R4367003M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Fundamentos del Arte II, Artes Escénicas
I.E.S. LOS MONTECILLOS;Camila;Peña;Cornejo;10870750P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Física
I.E.S. LUIS BARAHONA DE SOTO;Enzo;Ruiz;Cadenas;23018091I;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía, Matemáticas II
I.E.S. MAR DE ALBORÁN;Mara;Ureña;Rovira;37288251A;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
I.E.S. MARE NOSTRUM;Ines;Gallegos;Zamora;E9554078G;Biología, Química
I.E.S. MARGARITA SALAS.;Sara;Tejada;Acuña;91467198T;Economía de la Empresa
I.E.S. MARÍA ZAMBRANO;Biel;Castellanos;Báez;56856233B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Física
I.E.S. MARTÍN ALDEHUELA;Amir;Olivares;Olmeda;94832984Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. MARTÍN RIVERO;Nour;Caballero;Becerra;15580672P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia del Arte
I.E.S. MAYORAZGO;Jana;Llano;Villeda;29468123U;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Griego II
I.E.S. MEDITERRÁNEO;Carmen;Moscoa;Calles;25235682Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía
I.E.S. MIGUEL ROMERO ESTEO;Dario;Vales;Esquivel;49736609M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia de la Filosofía
I.E.S. MIRAFLORES DE LOS ÁNGELES;Fabio;Rangel;Ponce;H1943798X;Economía de la Empresa, Matemáticas Aplicadas a las CCSS
I.E.S. MIRAYA DEL MAR;Isabel;Noguera;Patiño;96349626B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
I.E.S. MONTERROSO;Jorge;Cadenas;Montero;75272749W;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
I.E.S. NUESTRA SEÑORA DE LA VICTORIA;Santiago;Galán;Ortega;87508064N;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. NÚM. 1. UNIVERSIDAD LABORAL;Camila;Garrido;Somoza;17151442M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
I.E.S. PABLO PICASSO;Alicia;Escovar;Noriega;36125912Q;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II
I.E.S. PEDRO ESPINOSA;Nour;Lázaro;Montecinos;37146260J;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Física, Química
I.E.S. PÉREZ DE GUZMÁN;Gael;Valdés;Savala;99369304E;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Biología, Química
I.E.S. PINTOR JOSÉ MARÍA FERNÁNDEZ;Alejandro;Mateo;Savala;72110694P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Historia de la Filosofía
I.E.S. PLAYAMAR;Eric;Rivas;Del Castillo;46545171V;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
I.E.S. POLITÉCNICO JESÚS MARÍN;Alex;Bonilla;Zacarías;92981614H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia de la Filosofía
I.E.S. PORTADA ALTA;Nahia;Trujillo;Roldán;13900945M;Biología, Química
I.E.S. PROFESOR GONZALO HUESA;Cristina;Uriarte;Rubín;20268797Y;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Francés (Fase de Admisión), Latín II, Griego II
I.E.S. PROFESOR ISIDORO SÁNCHEZ;Erik;Tablada;Zabaleta;15355842U;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. PROFESOR PABLO DEL SAZ;Aurora;Cárdenas;Suárez;46387455Y;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
I.E.S. PUERTO DE LA TORRE;Asier;Lázaro;Rueda;51178109U;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia de la Filosofía, Historia del Arte
I.E.S. REYES CATÓLICOS;Adara;Novales;Restrepo;88570682T;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Física
I.E.S. RÍO VERDE;Alicia;Herrera;Tedesco;46207087F;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Matemáticas II
I.E.S. SALDUBA;Lola;Quintana;Ibarra;57025152V;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Geografía
I.E.S. SALVADOR RUEDA;Bruno;Ivañez;Montiel;38081006B;Biología, Química
I.E.S. SANTA BÁRBARA;Andres;Treminio;Estévez;18274715M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
I.E.S. SANTIAGO RAMÓN Y CAJAL;Dario;Carranza;Chávez;95841521P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Fundamentos del Arte II, Cultura Audiovisual II, Historia de la Filosofía
I.E.S. SERRANÍA;Amir;Sala;Guzmán;84138236J;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. SIERRA ALMIJARA;Axel;Orozco;Alcocer;U6564948I;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. SIERRA BERMEJA;Mario;Cabrera;Sedano;73810221K;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
I.E.S. SIERRA BLANCA;Alba;Pantoja;Arriaga;T9440797D;Biología, Química
I.E.S. SIERRA DE MIJAS;Candela;Treminio;Luna;48739192T;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Física, Matemáticas II, Química
I.E.S. TORRE ATALAYA;Nicolas;Ozuno;Zaldívar;27040330E;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
I.E.S. VALLE DEL AZAHAR;Vega;Minas;Leandro;25552755P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Historia de la Filosofía
I.E.S. VALLE DEL SOL;Manuela;Pantoja;Zamora;17972925F;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Griego II, Historia de la Filosofía
